,LATITUDE,LONGITUDE
3274,39.71807,-104.95112
7714,28.4881,-81.1675
3380,31.077123,-87.111402
5457,42.1127,-72.0152
5589,34.819863,-118.748732
7062,37.9072,-87.9271
891,70.286333,-148.43397
9236,39.738,-76.3072
6141,29.75608,-95.36433
2675,35.46901,-97.51645
4755,37.2676,-89.5385
3384,32.21501,-88.008365
6592,34.2181,-91.9025
4714,33.177082,-86.759452
1681,38.0559,-122.21435
2533,38.7931,-94.3006
8616,34.2481,-118.3903
3235,29.706248,-95.251079
3677,39.9417,-75.1883
670,40.5915,-74.2027
1371,32.5127,-87.815631
5075,29.930278,-89.943889
9198,36.7561,-108.05952
2698,29.75894,-95.37096
8169,29.3787,-94.944
4415,37.0,-84.5917
2614,41.52712,-81.652
5595,32.848593,-104.394383
8217,30.5248,-88.1289
661,40.6383,-79.3503
7981,29.69845,-95.254597
173,33.780833,-118.241111
7875,44.217,-86.2906
7175,35.101197,-85.345342
152,33.916355,-118.418634
353,33.1043,-86.7985
7128,29.087945,-95.355625
4113,37.77946,-81.26781
8082,47.5314,-90.9111
2509,39.74933,-104.99275
6751,46.8669,-100.8839
2874,41.6472,-107.8236
453,29.623333,-95.045833
6367,30.475803,-91.208107
1548,40.27724,-80.16623
9232,29.208003,-97.071357
4264,32.15889,-93.55667
6919,43.1864,-84.8429
4727,29.62132,-95.064683
6221,39.8717,-76.8664
3339,44.0896,-103.271663
2681,70.356789,-147.959766
7600,43.3561,-78.6039
4062,37.2914,-77.2821
3329,38.69531,-90.1338
1527,29.625819,-95.061592
5238,34.1788,-118.3153
9000,30.676393,-81.457934
2112,33.8692,-81.0183
2003,36.151561,-95.989756
7133,32.7578,-102.681
810,36.0613546,-95.9515399
2289,39.8223,-111.894
5279,29.54478,-98.58929
614,40.6776,-89.6069
6705,38.322,-104.533
4035,30.7478,-88.0575
5528,39.6397,-79.9606
7728,33.443528,-88.575611
124,33.7688,-118.1009
7467,30.5661,-87.115
6627,40.8538,-98.3481
286,42.0575,-71.5172
377,32.51993,-97.0068
3381,31.16751,-85.09408
8166,40.7889,-111.90441
5784,34.638906,-87.089036
3544,39.182358,-75.503347
6212,32.02994,-102.08741
1929,46.6226,-122.9145
7539,40.5589,-96.7842
1316,41.18672,-92.74377
7876,60.683603,-151.367204
4982,39.4722,-79.0575
8320,40.091111,-80.573611
1018,40.6529,-74.0916
679,39.563527,-112.197061
373,29.2567,-95.2144
1369,25.786463,-80.421113
908,33.197829,-97.805965
8506,41.82949,-79.12468
4530,40.319147,-96.841297
5128,35.22663,-119.62972
3474,40.82126,-114.250199
7556,33.50668,-87.27089
1848,42.6028,-76.6336
7526,28.3665,-82.5591
3858,36.12266,-96.00048
1183,38.6681,-76.8678
7430,30.375,-97.631386
3469,46.731,-92.0765
5855,40.9378,-80.3681
4700,38.739074,-86.45703
4703,35.12279,-118.369304
5012,40.7729,-81.4151
378,44.5428,-117.4218
582,29.7484861,-95.4699173
6965,45.65,-122.7231
4043,39.2242,-88.7594
1999,36.15326,-95.99381
2415,42.33328,-83.05727
3106,27.804444,-97.424444
4325,43.071111,-86.233889
3391,33.139372,-91.96557
2958,39.74369,-104.98777
1727,32.41056,-111.151632
2796,45.804799,-87.08978
685,40.7869,-73.9122
9179,35.46882,-97.51734
2707,29.75894,-95.37096
7161,30.2594,-91.1737
4789,29.651494,-95.053576
1892,37.6569,-87.5006
236,28.760864,-82.025353
1861,37.3451,-80.764
3514,13.3949,144.7071
3963,33.3577,-84.9912
1433,34.80302,-87.93974
4639,37.216953,-88.881162
1340,41.2246,-83.2084
5277,46.95245,-102.78972
3009,29.7574,-95.36843
1828,45.788823,-119.79989
732,43.2542,-86.2417
4945,41.4275,-96.4619
2786,27.81,-97.593611
6435,30.199444,-91.013333
8914,37.4878,-120.8956
4820,43.9046,-116.8181
4695,33.5401,-86.5435
2901,33.9106,-118.425
6223,42.685833,-111.586667
7691,46.925,-98.5
3013,29.7574,-95.36843
7084,34.985716,-78.461733
262,61.290401,-149.604757
456,29.716191,-95.194361
9188,32.78882,-97.34363
4734,41.636578,-83.495172
6216,39.3265,-82.9744
2390,33.64108,-94.11243
2158,70.3233,-149.605
5590,33.733584,-86.155217
530,38.15569,-81.493799
675,34.6339,-87.0244
587,29.610018,-98.604853
7375,29.9616,-82.8497
6789,21.311415,-158.093615
2880,39.7372,-75.5033
1562,45.97549,-106.65532
5562,40.8092,-76.4539
6354,27.8733,-82.6741
4716,37.3828,-80.6625
